All 1599 models by parameter count:
vit_large_patch16_siglip_gap_256.v2_webli          | Total: 303.4M | Trainable: 303.4M
vit_large_patch16_siglip_gap_256.webli             | Total: 303.4M | Trainable: 303.4M
vit_large_patch16_224.mae                          | Total: 303.3M | Trainable: 303.3M
vit_large_patch16_224.orig_in21k                   | Total: 303.3M | Trainable: 303.3M
eva02_large_patch14_224.mim_in22k                  | Total: 303.3M | Trainable: 303.3M
eva02_large_patch14_224.mim_m38m                   | Total: 303.3M | Trainable: 303.3M
volo_d5_512.sail_in1k                              | Total: 296.1M | Trainable: 296.1M
volo_d5_448.sail_in1k                              | Total: 295.9M | Trainable: 295.9M
volo_d5_224.sail_in1k                              | Total: 295.5M | Trainable: 295.5M
regnety_640.seer_ft_in1k                           | Total: 281.4M | Trainable: 281.4M
regnety_640.seer                                   | Total: 276.5M | Trainable: 276.5M
cait_m36_384.fb_dist_in1k                          | Total: 271.2M | Trainable: 271.2M
dm_nfnet_f3.dm_in1k                                | Total: 254.9M | Trainable: 254.9M
efficientvit_l3.r224_in1k                          | Total: 246.0M | Trainable: 246.0M
efficientvit_l3.r256_in1k                          | Total: 246.0M | Trainable: 246.0M
efficientvit_l3.r320_in1k                          | Total: 246.0M | Trainable: 246.0M
efficientvit_l3.r384_in1k                          | Total: 246.0M | Trainable: 246.0M
focalnet_large_fl4.ms_in22k                        | Total: 239.3M | Trainable: 239.3M
focalnet_large_fl3.ms_in22k                        | Total: 239.1M | Trainable: 239.1M
resnetv2_152x2_bit.goog_in21k_ft_in1k              | Total: 236.3M | Trainable: 236.3M
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k      | Total: 236.3M | Trainable: 236.3M
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k_384  | Total: 236.3M | Trainable: 236.3M
tf_efficientnetv2_xl.in21k                         | Total: 234.8M | Trainable: 234.8M
mvitv2_large_cls.fb_inw21k                         | Total: 234.6M | Trainable: 234.6M
maxvit_large_tf_224.in21k                          | Total: 233.1M | Trainable: 233.1M
convnext_large.fb_in22k                            | Total: 229.8M | Trainable: 229.8M
mixer_l16_224.goog_in21k                           | Total: 229.6M | Trainable: 229.6M
swinv2_large_window12_192.ms_in22k                 | Total: 228.8M | Trainable: 228.8M
swin_large_patch4_window12_384.ms_in22k            | Total: 228.8M | Trainable: 228.8M
swin_large_patch4_window7_224.ms_in22k             | Total: 228.6M | Trainable: 228.6M
mvitv2_large.fb_in1k                               | Total: 218.0M | Trainable: 218.0M
resnetv2_50x3_bit.goog_in21k_ft_in1k               | Total: 217.3M | Trainable: 217.3M
convnext_large_mlp.clip_laion2b_augreg_ft_in12k_384 | Total: 216.8M | Trainable: 216.8M
convnext_large_mlp.clip_laion2b_soup_ft_in12k_320  | Total: 216.8M | Trainable: 216.8M
convnext_large_mlp.clip_laion2b_soup_ft_in12k_384  | Total: 216.8M | Trainable: 216.8M
hiera_large_224.mae_in1k_ft_in1k                   | Total: 213.7M | Trainable: 213.7M
hiera_large_224.mae                                | Total: 212.6M | Trainable: 212.6M
maxvit_large_tf_512.in1k                           | Total: 212.3M | Trainable: 212.3M
maxvit_large_tf_512.in21k_ft_in1k                  | Total: 212.3M | Trainable: 212.3M
sam2_hiera_large.fb_r1024                          | Total: 212.2M | Trainable: 212.2M
sam2_hiera_large.fb_r1024_2pt1                     | Total: 212.2M | Trainable: 212.2M
maxvit_large_tf_384.in1k                           | Total: 212.0M | Trainable: 212.0M
maxvit_large_tf_384.in21k_ft_in1k                  | Total: 212.0M | Trainable: 212.0M
maxvit_large_tf_224.in1k                           | Total: 211.8M | Trainable: 211.8M
mixer_l16_224.goog_in21k_ft_in1k                   | Total: 208.2M | Trainable: 208.2M
tf_efficientnetv2_xl.in21k_ft_in1k                 | Total: 208.1M | Trainable: 208.1M
convnext_large_mlp.clip_laion2b_augreg_ft_in1k     | Total: 200.1M | Trainable: 200.1M
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384 | Total: 200.1M | Trainable: 200.1M
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320 | Total: 200.1M | Trainable: 200.1M
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384 | Total: 200.1M | Trainable: 200.1M
convnext_large_mlp.clip_laion2b_augreg             | Total: 199.8M | Trainable: 199.8M
convnext_large_mlp.clip_laion2b_ft_320             | Total: 199.8M | Trainable: 199.8M
convnext_large_mlp.clip_laion2b_ft_soup_320        | Total: 199.8M | Trainable: 199.8M
convnextv2_large.fcmae_ft_in1k                     | Total: 198.0M | Trainable: 198.0M
convnextv2_large.fcmae_ft_in22k_in1k               | Total: 198.0M | Trainable: 198.0M
convnextv2_large.fcmae_ft_in22k_in1k_384           | Total: 198.0M | Trainable: 198.0M
convnext_large.fb_in1k                             | Total: 197.8M | Trainable: 197.8M
convnext_large.fb_in22k_ft_in1k                    | Total: 197.8M | Trainable: 197.8M
convnext_large.fb_in22k_ft_in1k_384                | Total: 197.8M | Trainable: 197.8M
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k | Total: 196.7M | Trainable: 196.7M
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k | Total: 196.7M | Trainable: 196.7M
swin_large_patch4_window12_384.ms_in22k_ft_in1k    | Total: 196.7M | Trainable: 196.7M
swin_large_patch4_window7_224.ms_in22k_ft_in1k     | Total: 196.5M | Trainable: 196.5M
convnextv2_large.fcmae                             | Total: 196.4M | Trainable: 196.4M
resnext101_32x16d.fb_ssl_yfcc100m_ft_in1k          | Total: 194.0M | Trainable: 194.0M
resnext101_32x16d.fb_swsl_ig1b_ft_in1k             | Total: 194.0M | Trainable: 194.0M
resnext101_32x16d.fb_wsl_ig1b_ft_in1k              | Total: 194.0M | Trainable: 194.0M
dm_nfnet_f2.dm_in1k                                | Total: 193.8M | Trainable: 193.8M
volo_d4_448.sail_in1k                              | Total: 193.4M | Trainable: 193.4M
volo_d4_224.sail_in1k                              | Total: 193.0M | Trainable: 193.0M
resnetrs420.tf_in1k                                | Total: 191.9M | Trainable: 191.9M
xcit_large_24_p16_224.fb_dist_in1k                 | Total: 189.1M | Trainable: 189.1M
xcit_large_24_p16_224.fb_in1k                      | Total: 189.1M | Trainable: 189.1M
xcit_large_24_p16_384.fb_dist_in1k                 | Total: 189.1M | Trainable: 189.1M
xcit_large_24_p8_224.fb_dist_in1k                  | Total: 188.9M | Trainable: 188.9M
xcit_large_24_p8_224.fb_in1k                       | Total: 188.9M | Trainable: 188.9M
xcit_large_24_p8_384.fb_dist_in1k                  | Total: 188.9M | Trainable: 188.9M
rdnet_large.nv_in1k                                | Total: 186.3M | Trainable: 186.3M
rdnet_large.nv_in1k_ft_in1k_384                    | Total: 186.3M | Trainable: 186.3M
coatnet_3_rw_224.sw_in12k                          | Total: 181.8M | Trainable: 181.8M
seresnextaa201d_32x8d.sw_in12k                     | Total: 171.6M | Trainable: 171.6M
resnet50x16_clip.openai                            | Total: 167.3M | Trainable: 167.3M
resnetrs350.tf_in1k                                | Total: 164.0M | Trainable: 164.0M
convformer_b36.sail_in22k                          | Total: 163.9M | Trainable: 163.9M
caformer_b36.sail_in22k                            | Total: 162.8M | Trainable: 162.8M
seresnextaa201d_32x8d.sw_in12k_ft_in1k_384         | Total: 149.4M | Trainable: 149.4M
tf_efficientnetv2_l.in21k                          | Total: 145.2M | Trainable: 145.2M
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k    | Total: 145.1M | Trainable: 145.1M
regnety_320.pycls_in1k                             | Total: 145.0M | Trainable: 145.0M
regnety_320.seer_ft_in1k                           | Total: 145.0M | Trainable: 145.0M
regnety_320.swag_ft_in1k                           | Total: 145.0M | Trainable: 145.0M
regnety_320.swag_lc_in1k                           | Total: 145.0M | Trainable: 145.0M
regnety_320.tv2_in1k                               | Total: 145.0M | Trainable: 145.0M
vit_so150m_patch16_reg4_gap_256.sbb_e250_in12k     | Total: 143.8M | Trainable: 143.8M
vgg19_bn.tv_in1k                                   | Total: 143.7M | Trainable: 143.7M
vgg19.tv_in1k                                      | Total: 143.7M | Trainable: 143.7M
